time,x,y,z
8.420097,6.060123,1.2547979,11.846787
8.430098,6.3249025,1.2351847,10.738636
8.440098,6.432776,1.2351847,9.640291
8.450098,6.7858152,1.2057648,8.679239
8.460098,7.1094346,1.1175048,7.91432
8.4700985,7.521314,0.862532,7.4534073
8.480099,7.88416,0.59775245,7.433794
8.490099,7.9724197,0.4898793,7.5318604
8.500099,7.9724197,0.24471307,8.041806
8.510099,7.8743534,0.21529311,8.404653
8.5201,7.501701,0.18587315,8.512526
8.5301,7.178081,0.12703325,8.816532
8.5401,6.766202,0.12703325,8.894985
8.5501,6.3052893,0.12703325,9.130345
8.560101,5.903217,0.18587315,9.130345
8.570101,5.550177,0.26432636,9.110732
8.580101,5.2069445,0.32316625,9.032278
8.590101,4.853905,0.34277958,8.914598
8.600101,4.7460318,0.43103942,8.679239
8.610102,4.628352,0.8036921,8.649819
8.620102,4.5106726,1.0978916,8.228133
8.630102,4.412606,1.195958,7.639734
8.640102,4.3341527,1.5293841,6.8650084
8.650103,4.2360864,1.6176441,6.119703
8.660103,4.157633,1.6960973,5.3842044
8.670103,4.0889864,1.7745504,4.746772
8.680103,4.0007267,1.7745504,4.3937325
8.690104,3.9811134,1.8333904,4.285859
8.700104,3.9811134,1.9216502,4.0406933
8.710104,4.0007267,2.00991,4.0112734
8.720104,4.0105333,2.0785568,3.99166
8.730104,4.0301466,2.09817,4.0603065
8.740105,4.1085997,2.1570098,4.4721856
8.750105,4.353766,2.264883,4.9330983
8.760105,4.461639,2.608116,5.4332376
8.770105,4.804872,2.8434753,6.031443
8.780106,5.3246245,3.0298018,7.580894
8.800106,5.903217,3.1278682,9.140152
8.810106,5.98167,3.1474817,9.8462305
8.830107,6.226836,3.167095,10.277723
8.840107,6.717169,3.1474817,10.365983
8.850107,7.0113683,3.1180615,10.297337
8.860107,7.295761,3.0984483,10.307143
8.870108,7.6782203,3.108255,11.003415
8.880108,8.109713,3.216128,11.77814
8.890108,8.364685,3.274968,12.33712
8.900108,8.374492,3.274968,12.807838
8.910109,8.354878,3.2063215,12.905906
8.920109,8.050873,3.1376748,12.905906
8.930109,7.6782203,3.108255,12.494026
